gene,pagerank
INS,0.002492461530929546
AKT1,0.0020156878762820113
TNF,0.001795954581757851
TGFB1,0.0015123480274231028
MAPK1,0.0014984536684636027
NFKB1,0.0014774901180864967
IFNG,0.0013642682149485478
IL6,0.0013577096278811767
AGT,0.0013133388903896275
IL1B,0.0012529587641320517
TP53,0.0012241201479276504
CD4,0.0012221046696200494
ADIPOQ,0.0011927625250583295
LEP,0.0011867498436161751
GCG,0.001183982957955576
IGF1,0.0011838139117932188
CTNNB1,0.0011027795491509247
PPARG,0.001093291949414562
APP,0.001085097322402857
VEGFA,0.00106295736634431
CD8A,0.0010416596442236754
HIF1A,0.0010348465068633968
MAPK3,0.0010313720749006918
MAPK8,0.0009834835584498689
MTOR,0.0009830922014195781
BCL2,0.0009388051439962956
STAT3,0.0009347640167680887
CASP3,0.0008895552416406651
IL10,0.0008726035162058931
IL2,0.0008598876618468492
SIRT1,0.0008575942901004735
IL4,0.0008438017790719153
MAPK14,0.0008303810538644596
NFE2L2,0.0008131253015214963
ERBB2,0.000812208494328382
IFNA1,0.0008119596434820037
EGFR,0.000808962301802126
IRS1,0.000793005316790147
TLR4,0.0007799002560802846
GSK3B,0.0007798591747691202
MYC,0.0007432025485407931
SLC2A4,0.0007421457312415268
FOXO1,0.0007373140122342756
PIK3R1,0.0007225351956170493
INSR,0.0007204328009479766
IL17A,0.0007136132237817863
GLP1R,0.0007122331479881053
PRKAA2,0.0007065079377843071
IFNB1,0.0006961311500037767
GH1,0.0006923946999477982
PPARA,0.000671382569290034
BAX,0.0006679777012395744
CRP,0.0006606761185321903
ESR1,0.000652003631244339
NLRP3,0.0006510104671048675
MMP9,0.000638271451139602
IGF1R,0.0006380023404395354
CCL2,0.0006377686978052282
CCND1,0.0006339670224175521
TLR2,0.0006247794842564967
ALB,0.0006234885079781256
PPARGC1A,0.0006222345636452284
SNCA,0.000621022374480779
EGF,0.0006206038447671049
MAPT,0.0006079812311976426
POMC,0.0005930478683522925
CXCL8,0.0005922699444537873
GGH,0.0005894853391256388
KRAS,0.0005840296164014479
IGF2,0.0005802994206613203
CDH1,0.000580006714796614
CAV1,0.0005775948570232396
FN1,0.0005773981218033472
PTEN,0.0005768746087616539
MMP2,0.0005620826663893185
NOS3,0.000557888531842465
AGER,0.0005549312798602922
CDKN1A,0.0005505777867175392
CREB1,0.0005501966138715502
CD274,0.0005467526814542264
PRL,0.0005441369136209051
PRRT2,0.0005436900051975837
JUN,0.0005435929889174201
NOS2,0.0005428760859680561
IL12B,0.000541554060765312
GNRH1,0.0005400858450811283
FGF2,0.0005383867697658688
JAK2,0.0005359870489137693
APOE,0.0005359191109447624
PDX1,0.0005312308435392458
SMAD3,0.0005304548499994244
MAP2K7,0.0005303196875180221
SRC,0.0005281001228997479
SERPINE1,0.0005255172668107246
STAT1,0.0005229265960723035
IL1A,0.0005180413412279512
BMP2,0.0005179015995234852
AR,0.0005165320837929922
EPO,0.0005161834028884841
ACE2,0.0005158451202946172
SST,0.0005128927913661853
PRKAA1,0.0005112800803926211
MDM2,0.0005090003608525971
RELA,0.0005071766529082027
F2,0.0005063305729356755
GHRL,0.0005015686210636689
TRBV20OR9-2,0.0004962335597423353
PTPN11,0.0004934279614580379
PTK2B,0.0004932834612174022
ICAM1,0.0004915408798742189
BDNF,0.0004908991373357497
APOB,0.0004908053436977988
EDN1,0.0004886898268950674
PTPA,0.00047633137262120226
GIP,0.00047604007879823893
CD28,0.00047341298946187944
