source,target,weight
CTNNB1,AKT1,0.0018678087011586549
CTNNB1,NFKB1,0.001337745430000254
CTNNB1,EGFR,0.0017363295019156525
CTNNB1,ERBB2,0.001913930835011806
CTNNB1,ESR1,0.0015677046372448644
CTNNB1,MAPK1,0.0012184606301444548
CTNNB1,MYC,0.002195550019541175
CTNNB1,TGFB1,0.001687249828790022
CTNNB1,TP53,0.0014798046851892818
TGFB1,AKT1,0.002060831312415883
TGFB1,NFKB1,0.0020042311141092823
TGFB1,MYC,0.0017659134330403749
TGFB1,TP53,0.001692568174164681
TGFB1,EGFR,0.002087862645797373
TGFB1,MAPK1,0.0022496233477583985
TGFB1,ERBB2,0.002350306632236429
TGFB1,ESR1,0.002045796307725124
MAPK1,AKT1,0.00199179287744824
MAPK1,NFKB1,0.0018880945292549967
MAPK1,MYC,0.001523326017432599
MAPK1,TP53,0.001536414921754292
MAPK1,EGFR,0.003005278658782585
MAPK1,ERBB2,0.0027725344509081577
MAPK1,ESR1,0.002286807706644003
ERBB2,AKT1,0.0031019446163183697
ERBB2,NFKB1,0.0024307695701042027
ERBB2,MYC,0.002101193121624715
ERBB2,TP53,0.0027987903699827708
ERBB2,EGFR,0.004484189607400706
ERBB2,ESR1,0.004334019423206021
TP53,AKT1,0.0018641391670963002
TP53,NFKB1,0.0018849466639348543
TP53,MYC,0.002046137450998863
TP53,EGFR,0.0021089080478552086
TP53,ESR1,0.0023946353411851344
NFKB1,AKT1,0.0022616025472254075
NFKB1,EGFR,0.00216105767974552
NFKB1,ESR1,0.002041070238205375
NFKB1,MYC,0.001677048193976781
ESR1,AKT1,0.0023570109306866984
ESR1,MYC,0.0021096578494218124
ESR1,EGFR,0.002857249000006244
MYC,AKT1,0.0015899667924576832
MYC,EGFR,0.0016335104077489207
AKT1,EGFR,0.0028550028503784037
